ID,Naziv,Ulica,Kraj,Postna_stevilka,Smer,Stopnja
80,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Kmetijstvo - živinoreja,VSŠ
81,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Kmetijstvo - zootehnika,UNI
82,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Krajinska arhitektura,UNI
83,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Lesarsko inženirstvo,VSŠ
84,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Lesarstvo,UNI
85,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Mikrobiologija,UNI
86,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Živilstvo in prehrana,UNI
87,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Agronomija,MAG
88,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Biomedicina,DR
89,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Biotehnologija,MAG
90,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Bioznanosti,DR
91,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Ekologija in biodiverziteta,MAG
92,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Ekonomika naravnih virov,MAG
93,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Gozdarstvo in upravljanje gozdnih ekosistemov,MAG
94,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Hortikultura,MAG
95,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Krajinska arhitektura,MAG
96,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Lesarstvo,MAG
97,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Mikrobiologija,MAG
98,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Molekulska in funkcionalna biologija,MAG
99,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Prehrana,MAG
100,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Statistika,DR
101,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Uporabna statistika,MAG
102,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Varstvo okolja,DR
103,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Živilstvo,MAG
104,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Znanost o živalih,MAG
105,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,"Marketing, družbeni mediji in odnosi z javnostmi  (Maribor)",VSŠ
106,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,"Marketing, družbeni mediji in odnosi z javnostmi  (Slovenija, e-študij)",VSŠ
107,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,"Menedžment v sociali in izobraževanju (Slovenije, e-študij)",VSŠ
108,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,Poslovanje in upravljanje v turizmu (Maribor),VSŠ
109,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,"Poslovanje in upravljanje v turizmu (Slovenija, e-študij)",VSŠ
110,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,Poslovanje (Maribor),VSŠ
111,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,"Poslovanje (Slovenija, e-študij)",VSŠ
112,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,Inovativni management v sociali in izobraževanju,MAG
113,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,Marketing in prodaja,MAG
114,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,Mednarodno poslovanje,MAG
115,"DOBA, Fakulteta za uporabne poslovne in družbene študije Maribor",Prešernova ulica 1,Maribor,2000,Menedžment pametnih mest,MAG
116,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Univerzitetna poslovna in ekonomska šola,UNI
117,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Visoka poslovna šola (Ljubljana),VSŠ
118,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Banèni in finanèni management,MAG
119,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Denar in finance,MAG
120,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Ekonomija,MAG
121,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Ekonomske in poslovne vede,DR
122,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Javni sektor in ekonomika okolja,MAG
123,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Kvantitativne finance in aktuarstvo,MAG
124,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Management,MAG
125,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Management in ekonomika v zdravstvenem varstvu,MAG
126,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Management v športu,MAG
127,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Mednarodno poslovanje,MAG
128,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Podjetništvo,MAG
129,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Poslovna informatika,MAG
130,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Poslovna logistika,MAG
131,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Poslovodenje in organizacija,MAG
132,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Raèunovodstvo in revizija,MAG
133,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Statistika,DR
134,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Trženje,MAG
135,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Turistièni management (EMTM),MAG
136,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Turizem,MAG
137,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Uporabna statistika,MAG
138,Ekonomska fakulteta,Kardeljeva plošèad 17,Ljubljana,1000,Varstvo okolja,DR
139,Ekonomsko-poslovna fakulteta,Razlagova 14,Maribor,2000,Ekonomske in poslovne vede,UNI
140,Ekonomsko-poslovna fakulteta,Razlagova 14,Maribor,2000,Poslovna ekonomija,VSŠ
141,Ekonomsko-poslovna fakulteta,Razlagova 14,Maribor,2000,Ekonomske in poslovne vede,MAG
142,Ekonomsko-poslovna fakulteta,Razlagova 14,Maribor,2000,Ekonomske in poslovne vede,DR
143,EMUNI University,Sonèna pot 20,Portorož,6320,Intercultural Business Communication,MAG
144,Fakulteta za arhitekturo,Zoisova cesta 12,Ljubljana,1000,Urbanizem,UNI
